source_id, ra, dec
H60932 187.862175 12.552459
T15650 188.045170 12.417610
SC82 188.288500 12.169186
SC322 188.214467 12.237158
H56955 188.127867 12.509897
SC370 188.453654 12.380949
SC48 188.354446 12.214828
T15843 188.137510 12.386020
H54736 188.030850 12.487686
H55206 188.206158 12.491423
H61383 187.853092 12.557844
SC10 188.243608 12.413384
SC84 188.721917 12.275614
SC403 188.238417 12.452222
SC28 188.020779 12.515394
H70800 187.988475 12.682141
H41551 188.129525 12.368192
SC294 188.375917 12.086288
SC172 188.154529 12.853931
SC449 188.516283 12.377232
T15786 188.179110 12.444380
H62252 187.909071 12.568389
SC239 188.245925 12.365400
SC88 188.015658 12.752684
R15494 187.450304 13.011964
SC155 188.108396 13.212359
SC292 188.238700 13.216197
SC434 187.803267 13.225431
SC396 187.845896 13.187917
R19052 187.279470 13.105430
SC158 188.309142 13.343772
SC138 187.807217 13.178622
SC258 187.768921 12.882228
SC278 187.762142 12.988069
SC400 187.469042 13.124464
H80979 187.726221 12.816998
R12691 187.400310 12.938050
SC225 187.887225 13.380530
SC362 188.305921 13.417380
SC57 187.511142 13.129586
SC63 188.026183 13.100759
H69854 187.734663 12.670264
GC180 187.369633 13.290544
M87UCD-12 187.631000 12.865720
SC78 187.809104 12.978030
SC427 188.347279 13.094800
SC352 188.112475 13.378772
SC193 187.421996 13.121908
SC75 188.407804 13.047403
SC69 187.567292 13.123978
SC104 187.452375 13.247592
SC181 187.693979 13.216370
SC97 187.760354 13.357325
SC420 188.290400 13.352425
SC121 188.334488 13.186441
SC100 188.047571 13.309642
SC165 187.745733 13.303352
SC347 188.361383 13.172337
SC212 188.354804 13.141050
SC163 187.778533 13.274594
H75314 187.763888 12.741361
SC77 187.919042 12.904355
H75432 187.668742 12.742994
R15179 187.446570 13.003790
SC392 188.246383 13.340456
SC314 188.239358 13.456828
R15119 187.404240 13.002590
SC119 187.794713 13.415319
H75640 187.844538 12.745014
SC246 188.119213 13.327784
R13506 187.463700 12.959300
SC156 188.392267 13.040186
SC130 187.989863 13.332447
SC64 187.531271 13.031756
SC330 188.027746 13.235983
SC58 187.598821 13.237083
SC227 187.619263 12.923047
GC166 187.236767 13.169450
SC317 187.699071 12.755953
R18154 187.349450 13.083740
H73492 187.672163 12.716589
R20070 187.267840 13.129380
H83431 187.612354 12.852323
SC241 187.903904 13.232153
SC334 187.355333 13.128414
R20765 187.241720 13.144180
SC486 187.846054 13.271194
SC291 187.935346 13.012141
SC323 187.754617 13.008150
SC308 187.824383 13.244650
GC199 187.583529 12.812031
R14054 187.458171 12.975658
SC261 187.758354 12.959064
SC260 187.687525 13.004517
GC169 187.271759 13.075375
SC363 187.942592 12.851371
SC353 188.090442 13.019908
UCD55 187.665138 12.839625
GC197 187.568521 12.786661
R15721 187.301430 13.018730
